"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","test_02_wizards[chromium]","tests","Mon Jan 26 16:12:55 UTC 2026","passed","Mon Jan 26 16:12:55 UTC 2026","Test1","test_sanity","",""
"","2098","test_03_wizards[chromium]","tests","Mon Jan 26 16:12:55 UTC 2026","passed","Mon Jan 26 16:12:57 UTC 2026","Test1","test_sanity","",""
"","2040","test_01_wizards[chromium]","tests","Mon Jan 26 16:12:53 UTC 2026","passed","Mon Jan 26 16:12:55 UTC 2026","Test1","test_sanity","",""
